Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,url,labeled_url
извиняться,1-st,"",straight,straight,palm,root,wide,"",hand-palm,horisontal,contra-ipsi,sraight,"","","","","",back,"",alternating,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3178--извиняться--извиняться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3178--извиняться--извиняться.mp4?raw=true' target='_blank'>извиняться</a>
обращаться к,1-st,"",straight,straight,palm,radial,pointed,"",head-low,horisontal,near-far,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3188--обращаться к--обращаться к.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3188--обращаться к--обращаться к.mp4?raw=true' target='_blank'>обращаться к</a>
аплодировать,1-st,"",straight,straight,palm,tips,wide,prone-supine,space,sagittal,low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3195--аплодировать--аплодировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3195--аплодировать--аплодировать.mp4?raw=true' target='_blank'>аплодировать</a>
думать,1-st,"",straight,straight,palm,tips,wide,"",head-high,sagittal,far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3220--понимать--понимать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3220--понимать--понимать.mp4?raw=true' target='_blank'>думать</a>
возникать,1-st,closed-open,curved-straight,"",palm,tips,"","",hand-narrow,horisontal,low-high,sraight,"","","","","",palm,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3268--возникать--возникать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3268--возникать--возникать.mp4?raw=true' target='_blank'>возникать</a>
арестовывать,1-st,"",straight,straight,palm,ulnar,"",prone-neutral,virtual object,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3286--арестовывать--арестовывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//3286--арестовывать--арестовывать.mp4?raw=true' target='_blank'>арестовывать</a>
вознестись,1-st,"",straight,straight,back,palm,pointed,"",space,horisontal,low-high,vawe,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3337--вознестись--вознестись.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3337--вознестись--вознестись.mp4?raw=true' target='_blank'>вознестись</a>
спрашивать,1-st,"",straight,straight,palm,tips,pointed,"",head-low,"",near-far,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3346--спрашивать--спрашивать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3346--спрашивать--спрашивать.mp4?raw=true' target='_blank'>спрашивать</a>
собирать,1-st,closed-open,curved-straight,"",palm,tips,pointed-wide,"",space,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3361--собирать--собирать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3361--собирать--собирать.mp4?raw=true' target='_blank'>собирать</a>
поручать,1-st,closed-open,curved-straight,"",palm,tips,"","",hand-classifier,horisontal,x-y,sraight,"","","","","",palm,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3371--поручать--поручать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/3371--поручать--поручать.mp4?raw=true' target='_blank'>поручать</a>
